id,AZ,non,non,non,EL,non,non,non,non;;;
4037771562,-83.6830505513566,0,0,0;;;4037771400,-79.143893632526,0,0,0
4037771562,-81.6373383162786,0,0,0;;;4037771400,-78.6682520723412,0,0,0
4037771562,-79.7540361284036,0,0,0;;;4037771400,-78.1972676214181,0,0,0
4037771562,-78.3733280730171,0,0,0;;;4037771400,-77.8904493332437,0,0,0
4037771562,-77.4350694344869,0,0,0;;;4037771400,-77.6832689183831,0,0,0
4037771562,-76.7029117813933,0,0,0;;;4037771400,-77.6193499571959,0,0,0
4037771562,-76.2396986964194,0,0,0;;;4037771400,-77.6936530937334,0,0,0
4037771562,-76.0744544583787,0,0,0;;;4037771400,-77.6804390238191,0,0,0
4037771562,-76.0768385086146,0,0,0;;;4037771400,-77.8288299497436,0,0,0
4037771562,-76.0158540780866,0,0,0;;;4037771400,-78.2002710411015,0,0,0
